CryptDestroyKey                   ADVAPI32
RegQueryInfoKeyW                  ADVAPI32 Truy lục thông tin về registry key chỉ định
GetUserNameW                      ADVAPI32 Truy lục người dùng được liên kết với thread hiện tại
CryptDecrypt                      ADVAPI32
CryptImportKey                    ADVAPI32
CryptAcquireContextA              ADVAPI32
CryptSetKeyParam                  ADVAPI32
RegSetValueExW                    ADVAPI32
RegCloseKey                       ADVAPI32
RegOpenKeyExW                     ADVAPI32
RegQueryValueExW                  ADVAPI32
RegQueryValueExA                  ADVAPI32
0040A1A0         GetNativeSystemInfo               KERNEL32
0040A1A4         GetFileAttributesW                KERNEL32
0040A1AC 6       SysFreeString                     OLEAUT32
0040A1B0 2       SysAllocString                    OLEAUT32
0040A1B4 8       VariantInit                       OLEAUT32
0040A1BC         SetupDiGetDeviceRegistryPropertyA SETUPAPI
0040A1C0         SetupDiEnumDeviceInfo             SETUPAPI
0040A1C4         SetupDiGetClassDevsA              SETUPAPI
0040A1C8         SetupDiDestroyDeviceInfoList      SETUPAPI
0040A1D0         CommandLineToArgvW                SHELL32 
0040A1D4         SHGetFolderPathW                  SHELL32 
0040A1D8         ShellExecuteW                     SHELL32 
0040A1DC         SHFileOperationW                  SHELL32 
0040A1E4         StrCmpIW                          SHLWAPI 
0040A1E8         StrStrIW                          SHLWAPI 
0040A1EC         StrStrIA                          SHLWAPI 
0040A1F4         wsprintfW                         USER32  
0040A1F8         GetSystemMetrics                  USER32  
0040A1FC         wsprintfA                         USER32  
0040A204         HttpOpenRequestA                  WININET 
0040A208         InternetSetOptionA                WININET 
0040A20C         HttpSendRequestA                  WININET 
0040A210         InternetConnectA                  WININET 
0040A214         HttpQueryInfoA                    WININET 
0040A218         InternetOpenA                     WININET 
0040A21C         InternetCloseHandle               WININET 
0040A220         InternetReadFile                  WININET 
0040A224         InternetQueryOptionA              WININET 
0040A22C         freeaddrinfo                      WS2_32  
0040A230 52      gethostbyname                     WS2_32  
0040A234 115     WSAStartup                        WS2_32  
0040A238 10      ioctlsocket                       WS2_32  
0040A23C         WSAIoctl                          WS2_32  
0040A240 4       connect                           WS2_32  
0040A244 18      select                            WS2_32  
0040A248 9       htons                             WS2_32  
0040A24C 22      shutdown                          WS2_32  
0040A250 21      setsockopt                        WS2_32  
0040A254 16      recv                              WS2_32  
0040A258 23      socket                            WS2_32  
0040A25C 151     __WSAFDIsSet                      WS2_32  
0040A260 3       closesocket                       WS2_32  
0040A264 19      send                              WS2_32  
0040A268         getaddrinfo                       WS2_32  
0040A270         _acmdln                           msvcrt  
0040A274         __getmainargs                     msvcrt  
0040A278         _initterm                         msvcrt  
0040A27C         __setusermatherr                  msvcrt  
0040A280         _adjust_fdiv                      msvcrt  
0040A284         __p__commode                      msvcrt  
0040A288         exit                              msvcrt  
0040A28C         __set_app_type                    msvcrt  
0040A290         _except_handler3                  msvcrt  
0040A294         _controlfp                        msvcrt  
0040A298         atoi                              msvcrt  
0040A29C         _cexit                            msvcrt  
0040A2A0         strchr                            msvcrt  
0040A2A4         _exit                             msvcrt  
0040A2A8         _c_exit                           msvcrt  
0040A2AC         strrchr                           msvcrt  
0040A2B0         _wcsdup                           msvcrt  
0040A2B4         _time64                           msvcrt  
0040A2B8         _aligned_malloc                   msvcrt  
0040A2BC         wcsncmp                           msvcrt  
0040A2C0         _aligned_free                     msvcrt  
0040A2C4         srand                             msvcrt  
0040A2C8         wcsstr                            msvcrt  
0040A2CC         wcsrchr                           msvcrt  
0040A2D0         _wcslwr                           msvcrt  
0040A2D4         wcschr                            msvcrt  
0040A2D8         __p__fmode                        msvcrt  
0040A2DC         strncpy                           msvcrt  
0040A2E0         _strlwr                           msvcrt  
0040A2E4         realloc                           msvcrt  
0040A2E8         strtol                            msvcrt  
0040A2EC         strstr                            msvcrt  
0040A2F0         sprintf                           msvcrt  
0040A2F4         rand                              msvcrt  
0040A2F8         wcsncpy                           msvcrt  
0040A2FC         calloc                            msvcrt  
0040A300         free                              msvcrt  
0040A304         memset                            msvcrt  
0040A308         _XcptFilter                       msvcrt  
0040A30C         memcpy                            msvcrt  
0040A314         ZwQueueApcThread                  ntdll   
0040A318         ZwMapViewOfSection                ntdll   
0040A31C         ZwResumeThread                    ntdll   
0040A324         CoInitializeEx                    ole32   
0040A328         CoInitializeSecurity              ole32   
0040A32C         CoUninitialize                    ole32   
0040A330         CoCreateInstance                  ole32   
0040A334         StringFromGUID2                   ole32   
0040A338         CoInitialize                      ole32   
0040A33C         CoTaskMemFree                     ole32   
